Title,AccessID,Location,Comments,PhotoLink,CaptureDate,PublicPhotoUrl,PhotoType,Crop,CropStage,VisitId,PhotoOrder,VisitScore
ACCY04NSJDOT-Trial-20260828T133857Z-1,ACCY04NSJDOT,San Jose de la Dormida,"<div class=""ExternalClassCF6AF36D8F5F4A98B102E89D2FB00514""><p class=""editor-paragraph"">prueba</p></div>",https://agcompany.sharepoint.com/:i:/t/ridarg_indxactividad/IQBZTMb2BoBUT6qy0OQrWGVyAapwNJnrxDamzSofgGNGsDc,2026-08-28T13:38:57Z,https://laar-testing-ar.github.io/field-trial-map/images/trial/ACCY04NSJDOT/ACCY04NSJDOT-Trial-20260828T133857Z-1.jpg,Trial,Corn,V6,,1,3
ACCY04NSJDOT-Trial-20260828T135129Z-1,ACCY04NSJDOT,San Jose de la Dormida,"<div class=""ExternalClass29DBD221B1C746A6ABB28062C63F5430""><p class=""editor-paragraph"">prueba sync</p></div>",https://agcompany.sharepoint.com/:i:/t/ridarg_indxactividad/IQD_4Tfml5onS5HjOhIBbRYwAeEjE9gBqO1QGp0IxESFdBY,2026-08-28T13:51:29Z,https://laar-testing-ar.github.io/field-trial-map/images/trial/ACCY04NSJDOT/ACCY04NSJDOT-Trial-20260828T135129Z-1.jpg,Trial,Corn,R1,,1,1
ANCY04NBUENT-Trial-20260828T140441Z-1,ANCY04NBUENT,Buenaventura,"<div class=""ExternalClass95991306903C4604852A5049F5AC10A4""><p class=""editor-paragraph"">Prueba sync</p></div>",https://agcompany.sharepoint.com/:i:/t/ridarg_indxactividad/IQCIQYCw8zz1RofHMzvLMN10AXzy5BISfhkRkByZBEZgZUQ,2026-08-28T14:04:41Z,https://laar-testing-ar.github.io/field-trial-map/images/trial/ANCY04NBUENT/ANCY04NBUENT-Trial-20260828T140441Z-1.jpg,Trial,Corn,V2,,1,4
ANCY04NPIQUT-Trial-20260828T141625Z-1,ANCY04NPIQUT,Piquete Cabado,"<div class=""ExternalClass1D33C587BEE34870ADA80D2549E61294""><p class=""editor-paragraph"">sin novedades</p></div>",https://agcompany.sharepoint.com/:i:/t/ridarg_indxactividad/IQAWsV19X47PTIxwaQ4ABTPtAbxvu40cqxMgV9EJ_RFmFng,2026-08-28T14:16:25Z,https://laar-testing-ar.github.io/field-trial-map/images/trial/ANCY04NPIQUT/ANCY04NPIQUT-Trial-20260828T141625Z-1.jpg,Trial,Corn,V4,,1,7
ANCY04NPIQUT-Trial-20260828T142048Z-1,ANCY04NPIQUT,Piquete Cabado,"<div class=""ExternalClassEF114BBF8DC14D7D841BEB1930742B7D""><p class=""editor-paragraph"">Prueba</p></div>",https://agcompany.sharepoint.com/:i:/t/ridarg_indxactividad/IQDVYBcxpJ_gQ4GDni2EstlkAcawbFZGepKSNfCIdSiFBIU,2026-08-28T14:20:48Z,https://laar-testing-ar.github.io/field-trial-map/images/trial/ANCY04NPIQUT/ANCY04NPIQUT-Trial-20260828T142048Z-1.jpg,Trial,Corn,V6,,1,6
ANCY04NPINFT-Trial-20260829T193613Z-1,ANCY04NPINFT,Pampa del Infierno,"<div class=""ExternalClass865237F5633F4292A1B4B9DB8B286551""><p class=""editor-paragraph"">Falta demarcar camino ingreso hacia ensayo</p></div>",https://agcompany.sharepoint.com/:i:/t/ridarg_indxactividad/IQD7RPIYAusASIZVtXYwyMjsAVccZhct-JhQmMX-0SJiHuQ,2026-08-29T19:36:13Z,https://laar-testing-ar.github.io/field-trial-map/images/trial/ANCY04NPINFT/ANCY04NPINFT-Trial-20260829T193613Z-1.jpeg,Trial,Corn,V2,,1,8
ANCY04NPINFT-Trial-20260829T193613Z-2,ANCY04NPINFT,Pampa del Infierno,"<div class=""ExternalClass3FBE3BA564F546CEA15ABDDC57E3CE93""><p class=""editor-paragraph"">Falta demarcar camino ingreso hacia ensayo</p></div>",https://agcompany.sharepoint.com/:i:/t/ridarg_indxactividad/IQCWPfEGXJcrTbggLGFj76e6ATqBSQQq2ZIVM-i04SjJ9zk,2026-08-29T19:36:13Z,https://laar-testing-ar.github.io/field-trial-map/images/trial/ANCY04NPINFT/ANCY04NPINFT-Trial-20260829T193613Z-2.jpeg,Trial,Corn,V2,,2,8
ANCY04NPINFT-Trial-20260829T193613Z-3,ANCY04NPINFT,Pampa del Infierno,"<div class=""ExternalClass055820878DE245AD9467DED134526491""><p class=""editor-paragraph"">Falta demarcar camino ingreso hacia ensayo</p></div>",https://agcompany.sharepoint.com/:i:/t/ridarg_indxactividad/IQBdpPRzrStZS66OT6jkDKrvAbDw90h2VPeykgnqjE4TVvA,2026-08-29T19:36:13Z,https://laar-testing-ar.github.io/field-trial-map/images/trial/ANCY04NPINFT/ANCY04NPINFT-Trial-20260829T193613Z-3.jpeg,Trial,Corn,V2,,3,8
AARY07FSJUSN-Trial-20260830T013232Z-1,AARY07FSJUSN,San Justo,"<div class=""ExternalClass0BDA76CA89834EC08F100EC8F80C1522""><p class=""editor-paragraph"">Prueba</p></div>",https://agcompany.sharepoint.com/:i:/t/ridarg_indxactividad/IQDeLoH7wZetSLbj48eAyk8cAdOuysk1S5Mr7wJrxLIk7b0,2026-08-30T01:32:32Z,https://laar-testing-ar.github.io/field-trial-map/images/trial/AARY07FSJUSN/AARY07FSJUSN-Trial-20260830T013232Z-1.jpeg,Trial,Canola,Botón floral,AARY07FSJUSN-Trial-20260830T013232Z,1,7
ANCY04NPINFT-Trial-20260830T184044Z-1,ANCY04NPINFT,Pampa del Infierno,"<div class=""ExternalClassA17AF94660C9432A9CD08E6487DC33B3""><p class=""editor-paragraph"">No coincide score con foto</p></div>",https://agcompany.sharepoint.com/:i:/t/ridarg_indxactividad/IQBGLPIjFnIgRI4vQIABUSSgAXm5cQYwCWV8A5_SWIL7JeE,2026-08-30T18:40:44Z,https://laar-testing-ar.github.io/field-trial-map/images/trial/ANCY04NPINFT/ANCY04NPINFT-Trial-20260830T184044Z-1.jpeg,Trial,Corn,V8,ANCY04NPINFT-Trial-20260830T184044Z,1,5
ANCY04NPINFT-Trial-20260830T184044Z-2,ANCY04NPINFT,Pampa del Infierno,"<div class=""ExternalClassE6D468C164AF454C9789F913A3CF5E27""><p class=""editor-paragraph"">No coincide score con foto</p></div>",https://agcompany.sharepoint.com/:i:/t/ridarg_indxactividad/IQDMUU61V8EMQq1JMNwwuGgCAdGqRLBT_DWQcumVKbybljU,2026-08-30T18:40:44Z,https://laar-testing-ar.github.io/field-trial-map/images/trial/ANCY04NPINFT/ANCY04NPINFT-Trial-20260830T184044Z-2.jpeg,Trial,Corn,V8,ANCY04NPINFT-Trial-20260830T184044Z,2,5
ANFY04NLBREN-ANFY04NLBRDN-Access-20260830T185019Z-1,ANFY04NLBREN-ANFY04NLBRDN,Las Breñas,"<div class=""ExternalClassE531658EE24B43D4A2D5FDF86A0E4D8C""><p class=""editor-paragraph"">bajada de ruta hacia la izquierda sentido sur - norte</p></div>",https://agcompany.sharepoint.com/:i:/t/ridarg_indxactividad/IQAK8HsplYVmTpkwA6RhDAVCAVWEWUDhmlSUfvqm5gQn8_Q,2026-08-30T18:50:19Z,https://laar-testing-ar.github.io/field-trial-map/images/access/ANFY04NLBREN-ANFY04NLBRDN/ANFY04NLBREN-ANFY04NLBRDN-Access-20260830T185019Z-1.png,Access,Sunflower,,ANFY04NLBREN-ANFY04NLBRDN-Access-20260830T185019Z,1,
ANCY04NLCEJT-Trial-20260831T131714Z-1,ANCY04NLCEJT,Las Cejas,"<div class=""ExternalClass35E7F575B4B74B538B319D9CFD687543""><p class=""editor-paragraph"">Problemas de deriva</p></div>",https://agcompany.sharepoint.com/:i:/t/ridarg_indxactividad/IQAgMAZ2PeETSrguEAyL0UpsAX2m6C7-ESO4uSlqRYLVFsg,2026-08-31T13:17:14Z,https://laar-testing-ar.github.io/field-trial-map/images/trial/ANCY04NLCEJT/ANCY04NLCEJT-Trial-20260831T131714Z-1.jpg,Trial,Corn,VT,ANCY04NLCEJT-Trial-20260831T131714Z,1,3
ANCY04NLCEJT-Trial-20260831T131714Z-2,ANCY04NLCEJT,Las Cejas,"<div class=""ExternalClass4E906EBC88FD445987F4B1E64EFE2891""><p class=""editor-paragraph"">Problemas de deriva</p></div>",https://agcompany.sharepoint.com/:i:/t/ridarg_indxactividad/IQBSUzBmW9c1RKcMrmHk7M9iAdg6C06jcyL131H9Y15SNcQ,2026-08-31T13:17:14Z,https://laar-testing-ar.github.io/field-trial-map/images/trial/ANCY04NLCEJT/ANCY04NLCEJT-Trial-20260831T131714Z-2.jpg,Trial,Corn,VT,ANCY04NLCEJT-Trial-20260831T131714Z,2,3
Completar-Access-20260831T192531Z-1,Completar,Las Cejas,"<div class=""ExternalClassB17E84CD4CFA4B5A8A0A85EA2330B4F7""><p class=""editor-paragraph"">Prueba acceso nuevo</p></div>",https://agcompany.sharepoint.com/:i:/t/ridarg_indxactividad/IQDF8kPkUAUfQ4mtqyJ9060uAThVJFTCc8p53TLGuqcjrLM,2026-08-31T19:25:31Z,https://laar-testing-ar.github.io/field-trial-map/images/access/Completar/Completar-Access-20260831T192531Z-1.jpg,Access,,,Completar-Access-20260831T192531Z,1,
ANCY04NRAPET-Access-20260831T192733Z-1,ANCY04NRAPET,Rapelli,"<div class=""ExternalClassB3601513FF3D4754A38CB09340B1AD45""><p class=""editor-paragraph""></p></div>",https://agcompany.sharepoint.com/:i:/t/ridarg_indxactividad/IQBGQybL7muvSa4cnAj_K_Y3AUALi6KWIaMpegIFWP3geAU,2026-08-31T19:27:33Z,https://laar-testing-ar.github.io/field-trial-map/images/access/ANCY04NRAPET/ANCY04NRAPET-Access-20260831T192733Z-1.jpg,Access,,,ANCY04NRAPET-Access-20260831T192733Z,1,
ANCY04NRAPET-Access-20260831T194047Z-1,ANCY04NRAPET,Rapelli,"<div class=""ExternalClassD8013FAB533045818D7594F7D187CB5D""><p class=""editor-paragraph""></p></div>",https://agcompany.sharepoint.com/:i:/t/ridarg_indxactividad/IQBwgT4dgDb_RoBHNQunVjxCAXxJDnPZOm1JgwcSHcKjFxY,2026-08-31T19:40:47Z,https://laar-testing-ar.github.io/field-trial-map/images/access/ANCY04NRAPET/ANCY04NRAPET-Access-20260831T194047Z-1.jpg,Access,,,ANCY04NRAPET-Access-20260831T194047Z,1,
